L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S/N,Term,Exercise,General Details,General Details,Signals,,Signals/ Optics,,,,,,,,,,,,,,,,,,,,,,,,,,Signal / Optics,Medic ,,,,Medic,Ammo,,Ammo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ammo,,,,,,,,,,,,,,,,,,,,,,Ammo,Ration,Ration,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transport,,,,,,,,,,,,,,,,Others
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMMO COLLECTION BASE,"REMARKS
(E.g. No. of Rounds for Demonstration)",General Details,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Per Cadet,Per Group,Per Section,Per Platoon,Per Wing,Conventional Arms,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Wing,Per Section,Per Wing,Per Wing,Demolition,Per Wing,Per Wing,Per Cadet,Others,,,,"Start:
Date / Timing","End:
Date / Timing",LUV (HQ),MB290 (HQ),LUV (PLC),SOUV,5-Ton,GP Car,"Other Vehicles (Boats, Trailers, F550)",TO,Reporting Venue,Destination Venue,Parkover,Remarks,Indent ID,Military,Date/Timing,,Venue,,20 - seater,40 - seater,60 - seater,1 way / 2 way / Disposal,POC + Contact Number,Indent ID,Civilian,RPL,,,,Fast Craft,,,,Tekong,,Stores,,,,,,,,,Stores,ICCT Instructors,SOC Key,Link Bridge Key,M1 Gate Key,Others,
69,,Ex. CENTIPEDE / GREENSLEEVES RECCE,TEKONG,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,1,-,-,-,-,1,SAFTI MI,PULAU TEKONG,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,SAME DAY,MR / LR,LR / MR,2x OUV,-,-,-,-,Y,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
70,,Ex. COCOON / SKYLARK + NIGHTBIRD,LOR ASRAMA,,,,0,14,2,2,2,0,0,0,0,0,Y,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,Y,,,LORONG ASRAMA,2,Y,,,PLAD,0,,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Y,-,,,,-,-,1,1,2,-,-,4,SAFTI MI,LORONG ASRAMA,Y,-,-,Y,-,-,SAFTI MI,LOR ASRAMA,-,3,-,2 WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
71,,Ex. COCOON / SKYLARK + NIGHTBIRD RECCE,LOR ASRAMA,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,1,-,-,-,-,1,SAFTI MI,LORONG ASRAMA,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
72,,Ex. COCOON GRASS DRILLS,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,SAFTI MI,1,Y,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,1,-,-,-,1,SAFTI MI,SAFTI MI,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
73,,Ex. COUGAR ,MMRC,,,,0,2,0,2,2,0,0,0,10,10,Y,0,0,0,18,24,0,0,0,0,15,0,0,0,0,Y,Y,,,-,DMCC,-,,,PLAD,0,,0,0,320,0,0,0,0,256,0,0,0,0,64,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Y,0,0,0,,Y,-,,,,-,-,1,1,1,-,-,3,"SAFTI MI (BLK 27, TWG)",SAFTI LFA,Y,-,-,Y,-,-,SAFTI MI,"E-SHAPED KNOLL, BAJAU",-,3,-,2 WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,Y,-,-,Y,-,-,-,-,-,Y
74,,Ex. COUGAR RECCE,"E-SHAPE KNOLL, BAJAU",,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,1,-,-,-,-,1,SAFTI MI,SAFTI LFA,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
75,,Ex. COYOTE I,NEO TIEW,,,,15,3,3,1,1,,,,15,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Y,,,NEO TIEW,1,Y,,,PLAD,0,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Y,-,,,,-,-,1,1,1,-,-,3,SAFTI MI,NEO TIEW VILLAGE,Y,-,-,Y,-,-,SAFTI MI,NEO TIEW,-,3,-,2 WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,Y,Y,Y,-,-,-,-,-,Y,-,-,-,-,Medical Recce Clearance into TAB,Y
76,,Ex. COYOTE I RECCE,NEO TIEW,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,1,-,-,-,-,1,SAFTI MI,NEO TIEW VILLAGE,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
77,,Ex. COYOTE II,MUTF,,-,-,15,3,3,1,1,,,,15,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Y,,,MUTF,1,Y,,,PLAD,0,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Y,-,,,,-,-,1,1,1,-,-,3,SAFTI MI,MUTF,Y,-,-,Y,-,-,SAFTI MI,MUTF,-,2,-,2-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,Y,Y,Y,Y,-,-,-,-,-,Y,-,-,-,-,-,Y
78,,Ex. COYOTE II RECCE,MUTF,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,1,-,-,-,-,1,SAFTI MI,MUTF,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
79,,Ex. DUMP IN,LOR ASRAMA,,-,-,25,10,0,3,2,6,1,4,0,0,Y,6,0,15,0,0,0,0,0,0,21,21,3,0,0,Y,Y,,,LOR ASRAMA,2,Y,,,PLAD,0,,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Y,-,,,,-,-,1,1,2,-,-,4,SAFTI MI,LOR ASRAMA ,Y,-,-,Y,-,-,SAFTI MI,LOR ASRAMA,-,2,-,2-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
80,,Ex. DUMP IN RECCE,LOR ASRAMA,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
81,,Ex. GATEWAY,-,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,-,1,-,-,-,1,SAFTI MI,SAFTI MI,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
82,SLT,Ex. HEART,-,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-,-,-,DMCC,,-,-,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
83,ST,Ex. HUNTER,BCTC,,,,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Y,,,"SAFTI MI(BLK27, TWG)",1,Y,,,PLAD,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,,1,,-,-,1,"SAFTI MI (BLK27, TWG)",SAFTI MI,Y,-,-,Y,-,-,"SAFTI MI (BLK 27, TWG) ",UPPER MANDAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
84,ST,Ex. HUNTER RECCE,BCTC,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,1,-,,-,-,-,-,-,SAFTI MI,UPPER MANDAI,-,1x SD LUV,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
85,,Ex. PANTHER STRIKE,MUTF + LFA,,,,50,12,6,0,2,0,0,0,0,10,Y,12,0,0,0,18,18,0,6,0,18,0,8,0,0,Y,Y,,,MUTF,3,Y,,,PLAD,0,,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Y,-,,,,-,-,3,3,10,-,-,16,SAFTI MI,MUTF / LCK,Y,"ADMIN - 1x OUV, 1x SOUV, 4x 5Ton
PARTICIPATING WING - 1x SOUV, 4x 5 Ton
ENEMY - 1x SOUV, 2x 5Ton
SUPERVISING - 2x OUV",-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,Y,-,Y,-,-,-,-,Y,-,-,-,-,-,Y
86,,Ex. RHINO,"E-SHAPE KNOLL, BAJAU",,,,24,8,0,0,2,0,0,0,0,0,Y,5,0,0,5,48,8,0,0,0,16,5,3,0,0,Y,Y,,,SAFTI LFA,1,Y,,,PLAD,0,,41,0,0,0,0,24,0,0,0,0,16,0,0,0,0,0,0,0,1000,0,0,0,0,1000,0,0,0,0,0,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Y,0,0,0,0,0,10,0,3,0,1,0,3,0,0,0,9,Y,0,0,0,,Y,-,,,,-,-,1,1,2,-,-,5,SAFTI MI,SAFTI LFA,Y,-,-,Y,-,-,SAFTI MI,"E-SHAPED KNOLL, BAJAU",-,3,-,2 WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,Y,-,-,Y,-,-,-,-,-,Y
87,,Ex. RHINO RECCE,"E-SHAPE KNOLL, BAJAU",,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,1,-,-,-,-,1,SAFTI MI,SAFTI LFA,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
88,,Ex. SCORPION KING,LOR ASRAMA,,-,-,15,5,2,2,1,1,1,1,0,15,Y,0,0,0,100,10,10,9,0,0,30,0,3,0,0,Y,Y,281117 0630,011217 2300,LOR ASRAMA,2,Y,281117 0600,011217 2359,PLAD,0,,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Y,-,,281117 0615,011217 2300,-,-,1,1,2,-,-,4,SAFTI MI,LOR ASRAMA ,Y,-,-,Y,-,-,SAFTI MI,LOR ASRAMA,-,3,-,1-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,Y,Y,-,-,-,-,-,Y
89,,Ex. SCORPION KING RECCE,LOR ASRAMA,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,1,-,-,-,-,1,SAFTI MI,LOR ASRAMA ,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
90,,Ex. SEEKER,UPPER MANDAI,,,,0,20,0,4,2,0,0,0,0,0,Y,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,Y,,,UPPER MANDAI,2,Y,,,PLAD,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Y,-,,,,-,-,1,1,1,-,-,3,SAFTI MI,MANDAI,Y,-,-,Y,-,-,SAFTI MI,UPPER MANDAI,-,3,-,2-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
91,,Ex. SEEKER RECCE,UPPER MANDAI,,-,-,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-,DMCC,,,,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,-,,,,-,-,1,-,-,-,-,1,SAFTI MI,MANDAI,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
92,,Ex. WILDCAT,LORONG ASRAMA,,,,0,20,0,4,2,0,0,0,0,0,Y,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,Y,,,LORONG ASRAMA,2,Y,,,PLAD,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Y,-,,,,-,-,-,2,1,-,-,3,SAFTI MI,LORONG ASRAMA,Y,-,-,Y,-,-,SAFTI MI,LORONG ASRAMA,-,2,-,2-WAY,-,-,Y,-,-,-,-,-,-,-,-,,Y,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
